id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33627812,Avenida Sunny Room 3,252967041,Fernando,Lisboa,Santo Antnio,38.72286,-9.14665,Private room,48,1,45,2022-12-10,1.02,6,364,39,32821/AL
33963570,CASCAIS COZY APARTMENT,26549851,Leonor,Cascais,Alcabideche,38.713,-9.41612,Entire home/apt,100,4,5,2022-09-08,0.12,5,198,3,94681/AL
33628258,Villa Diva,17070749,Allure Villas,Cascais,Cascais e Estoril,38.70355,-9.44603,Entire home/apt,255,7,1,2019-07-03,0.02,23,70,0,93918/AL
33634638,Avenida Sunny Room 4,252967041,Fernando,Lisboa,Santo Antnio,38.72328,-9.14686,Private room,52,1,43,2022-11-27,0.96,6,365,37,32821/AL
33830435,Ferme du Soleil - Maison Côte Ouest,255423922,Rodolfo,Torres Vedras,Ramalhal,39.13772,-9.23513,Entire home/apt,58,5,4,2022-07-12,0.10,7,95,2,90083/AL
33963914,Bohemian Studio at Bairro Alto,118241230,Antonio E Carol,Lisboa,Misericrdia,38.71249,-9.14504,Entire home/apt,70,1,165,2022-11-22,3.72,17,358,66,19813/AL
33964367,Margarida Charming house in Cascais,316494,Margarida,Cascais,Cascais e Estoril,38.72967,-9.44625,Entire home/apt,386,3,5,2022-08-28,0.12,1,84,2,94522AL
33981678,Bela Vista III - Lissabon Altstadt,228869638,Céu,Lisboa,Estrela,38.71143,-9.1582,Entire home/apt,77,2,53,2022-09-21,1.29,25,332,20,1720/AL
33635025,Avenida Sunny Room 6,252967041,Fernando,Lisboa,Santo Antnio,38.72318,-9.14493,Private room,55,2,39,2022-12-04,0.88,6,320,35,32821/AL
33639666,Avenida Sunny Room 7 - Casa de banho privada,252967041,Fernando,Lisboa,Santo Antnio,38.72321,-9.14488,Private room,68,1,34,2022-11-09,0.76,6,362,31,32821/AL
33641096,Light-Filled Alfama Apartment,74171605,Rui & Elsa,Lisboa,Santa Maria Maior,38.71277,-9.12687,Entire home/apt,64,2,203,2022-11-29,4.57,27,348,84,93218/AL
33982552,"Apartamento Villa Tejo, by Unique Breaks",252802908,"Unique Breaks,",Lisboa,Parque das Naes,38.75361,-9.09476,Entire home/apt,95,5,49,2022-11-05,1.11,1,1,23,17514/2019 deferido tacitamente
33650376,West Coast Surf Hostel,7313400,José,Lourinh,Lourinh e Atalaia,39.26583,-9.33192,Shared room,25,2,0,,,10,365,0,8018/AL
33650377,West Coast Surf Hostel,7313400,José,Lourinh,Lourinh e Atalaia,39.26488,-9.33144,Shared room,25,2,0,,,10,365,0,8018/AL
33651596,West Coast Surf Hostel,7313400,José,Lourinh,Lourinh e Atalaia,39.26468,-9.33366,Private room,60,2,1,2022-09-27,0.37,10,365,1,80/18AL
33843318,GuestReady - The Royal Prince,227146328,Eyal,Lisboa,Misericrdia,38.71631,-9.15307,Entire home/apt,71,2,108,2022-12-05,2.43,2,290,36,87788/AL
